,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
91,17888,1288440010002,361340.0,9.999969557765661,29.745240000000003,-95.36975,0.0347,77002,8400.13,2080.0,CRAWFORD MANOR & OTHERS,2017-01-26,4743,101912467,Middle,85,1,0
92,17889,1288440010003,412500.0,10.0,29.74516,-95.36978,0.035,77002,8400.13,2608.0,CRAWFORD MANOR & OTHERS,2009-07-21,4743,101912467,Middle,85,1,0
93,17890,1288440010004,431895.0,5.677121947280722,29.74523,-95.36957,0.040999999999999995,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2016-06-09,4743,101912467,Middle,85,1,0
94,17891,1288440010005,375980.0,10.0,29.74513,-95.36946,0.0346,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2014-05-12,4743,101912467,Middle,85,1,0
95,17892,1288440010006,400000.0,16.754232340922357,29.74519,-95.36941999999999,0.0382,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2018-10-19,4743,101912467,Middle,85,1,0
96,17892,1288440010006,400000.0,16.754232340922357,29.74519,-95.36941999999999,0.0382,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2018-10-19,4743,101912025,High,95,1,0
97,17887,1288440010001,391699.0,10.0,29.745309999999996,-95.36967,0.0449,77002,8400.13,2440.0,CRAWFORD MANOR & OTHERS,2008-05-16,4743,101912463,High,95,1,0
98,17888,1288440010002,361340.0,9.999969557765661,29.745240000000003,-95.36975,0.0347,77002,8400.13,2080.0,CRAWFORD MANOR & OTHERS,2017-01-26,4743,101912463,High,95,1,0
99,17889,1288440010003,412500.0,10.0,29.74516,-95.36978,0.035,77002,8400.13,2608.0,CRAWFORD MANOR & OTHERS,2009-07-21,4743,101912463,High,95,1,0
100,17890,1288440010004,431895.0,5.677121947280722,29.74523,-95.36957,0.040999999999999995,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2016-06-09,4743,101912463,High,95,1,0
101,17891,1288440010005,375980.0,10.0,29.74513,-95.36946,0.0346,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2014-05-12,4743,101912463,High,95,1,0
102,488,270520000008,152100.0,0.0,29.76922,-95.35257,0.1286,77002,7116.0,1598.0,HAILE/SWINEY,1998-08-26,4743,101912025,High,95,1,0
103,489,270520000015,159132.0,5.919235351673001,29.76902,-95.35256,0.0809,77002,7116.0,1308.0,HAILE/SWINEY,2015-01-08,4743,101912025,High,95,1,0
104,490,270520000016,125150.0,0.0,29.76926,-95.35242,0.1149,77002,7116.0,1836.0,HAILE/SWINEY,1988-01-02,4743,101912025,High,95,1,0
